description	enabled	* type	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	min diff	version	ladder	*eol
Staff of Kings + Viper amulet -> Horadric Staff	1	Quests	28				2	msf	vip						hst																																																																																										0
Khalim Flail + Khalim Heart + Khalim Eye + Khalim Brain -> Super Khalim Flail	1	Quests	28				4	qf1	qhr	qey	qbr				qf2																																																																																										0
Wirt's Leg  -> Cow Portal	1	Cow Level	36				1	leg							portal=39																																																																																							2			0
Wirt's Legs  -> Cow King Portal	1	Cow Level	34	39			1	wol							portal=163																																																																																							2			0
test recipe		Test Recipe					2	StormBlade2	hpot						"useitem,rem"	150			levelreq			1	-20																																																																																100		0
test recipe		Test Recipe					1	TitansSteps							useitem				move3			40	40																																																																																100		0
test recipe		Test Recipe					1	rin							useitem				res-all			300	300																																																																																100		0
stardragon upgrade decoy	1	UQ - Bremmtown	18	452	1	ama	1	DragonClaw							useitem																																																																																								100		0
stardragon upgrade decoy	1	UQ - Bremmtown	18	452	1	ass	1	DragonClaw							useitem																																																																																								100		0
stardragon upgrade decoy	1	UQ - Bremmtown	18	452	1	bar	1	DragonClaw							useitem																																																																																								100		0
stardragon upgrade decoy	1	UQ - Bremmtown	18	452	1	dru	1	DragonClaw							useitem																																																																																								100		0
stardragon upgrade decoy	1	UQ - Bremmtown	18	452	1	nec	1	DragonClaw							useitem																																																																																								100		0
stardragon upgrade decoy	1	UQ - Bremmtown	18	452	1	pal	1	DragonClaw							useitem																																																																																								100		0
stardragon upgrade decoy	1	UQ - Bremmtown	18	452	1	sor	1	DragonClaw							useitem																																																																																								100		0
stardragon upgrade (if counter = 1030)	1	UQ - Bremmtown	6	507	2021	ama	1	DragonClaw							useitem				skillcap			1	1	hp			500	500	upgrade1			1	1	class-restrict			1	1	desc-bottom		11369	-9	-9																																																												100		0
stardragon upgrade (if counter = 1030)	1	UQ - Bremmtown	6	507	2021	ass	1	DragonClaw							useitem				skillcap			1	1	mana			500	500	upgrade1			1	1	class-restrict			7	7	desc-bottom		11369	-9	-9																																																												100		0
stardragon upgrade (if counter = 1030)	1	UQ - Bremmtown	6	507	2021	bar	1	DragonClaw							useitem				skillcap			1	1	dmg-global			50	50	upgrade1			1	1	class-restrict			5	5	desc-bottom		11369	-9	-9																																																												100		0
stardragon upgrade (if counter = 1030)	1	UQ - Bremmtown	6	507	2021	dru	1	DragonClaw							useitem				skillcap			1	1	ac			1000	1000	upgrade1			1	1	class-restrict			6	6	desc-bottom		11369	-9	-9																																																												100		0
stardragon upgrade (if counter = 1030)	1	UQ - Bremmtown	6	507	2021	nec	1	DragonClaw							useitem				skillcap			1	1	res-all-minion			15	15	upgrade1			1	1	class-restrict			3	3	desc-bottom		11369	-9	-9																																																												100		0
stardragon upgrade (if counter = 1030)	1	UQ - Bremmtown	6	507	2021	pal	1	DragonClaw							useitem				skillcap			1	1	avoidance			5	5	upgrade1			1	1	class-restrict			4	4	desc-bottom		11369	-9	-9																																																												100		0
stardragon upgrade (if counter = 1030)	1	UQ - Bremmtown	6	507	2021	sor	1	DragonClaw							useitem				skillcap			1	1	enr-factor			50	50	upgrade1			1	1	class-restrict			2	2	desc-bottom		11369	-9	-9																																																												100		0
edyrem upgrade decoy	1	UQ - Judgement Day	18	270	1		1	Xtalline2							useitem																																																																																								100		0
edyrem upgrade (if counter = 998)	1	UQ - Judgement Day	6	507	998		1	Xtalline2							useitem				allskills			1	1	all-stats			40	40	has-edyrem			1	1	desc-bottom		11372	-9	-9																																																																	100		0
sunstone of the gods	1	UQ - Tran Athulua					3	x5x	x6x	x7x					SunstoneOfTheGods	100		100																																																																																					100		0
upgrade dark ring	1	UQ - Duncraig					6	l@l	m@m	o[o	p@p	q@q	BossKillerRing		UpgradedBossKillerRing	100																																																																																							100		0
Black Road Fauzt Portal	1	UQ - Kabraxis	18	452	1		2	TheBlackRoad	rune						useitem																													kfau																																																											100		0
Black Road	1	UQ - Kabraxis	18	452	0		6	TheBlackRoad	\\1	\\2	\\3	\\4	\\5		useitem				upgrade1			1	1	desc-bottom		11317	1	1																																																																											100		0
Trader's Chest Essence Decoy	1	UQ - Terul	18	466	1		2	"trc,uni"	esse						useitem				desc-top		11373	-9	-9	all-stats			4	4	chest_gamble			-1	-1	desc-top		11374	9	9																																																																			0
Trader's Chest Essence Decoy	1	UQ - Terul	15	466	2		2	"trc,uni"	esse						useitem				str			-3	5	dex			-3	5	enr			-3	5	vit			-3	5	chest_gamble			-1	-1																																																														0
TC Trophy Mystic	1	UQ - Terul	18	452	1		2	"trc,uni"	|ms						useitem																													|ms																																																													0
TC Trophy Mystic	1	UQ - Terul	18	466	0		2	"trc,uni"	|ms						useitem				upgrade1			1	1	allskills			0	1	all-stats			5	20	desc-top		11374	-9	-9																																																																			0
Trophy Carrier - Aldric Jitan	1	UQ - Startled Witch	16	219	0		2	"ths,uni"	[01						useitem				blessings-counter			1	1	res-pois-len			25	25	uninterrupt			21	30	deadly			1	5																																																																			0
Trophy Carrier - LegacyBlood	1	UQ - Startled Witch	16	219	0		2	"ths,uni"	[02						useitem				blessings-counter			1	1	dex			21	30	str			21	30	vit			21	30	enr			21	30																																																														0
Trophy Carrier - Rathma	1	UQ - Startled Witch	16	219	0		2	"ths,uni"	[07						useitem				blessings-counter			1	1	att%			101	150	crush			6	10	cheap			11	20	all-stats%			1	5																																																														0
Trophy Carrier - Akarat	1	UQ - Startled Witch	16	219	0		2	"ths,uni"	[04						useitem				blessings-counter			1	1	move3			5	5	lifesteal			6	10	manasteal			6	10	light			1	3																																																														0
