"Cutthroat1"	"Злоба Бартука"
"ModStr5d"	"к Выносливости"
"Mauler"	"Мучитель"
"StrSkill41"	" урон"
"D2bnetHelp13"	"/whisper <*accountname>, /w <*accountname>"
"D2bnetHelp13b"	"/msg <*accountname>, /m <*accountname>"
"D2bnetHelp15"	"/squelch <*accountname>"
"D2bnetHelp15b"	"/ignore <*accountname>"
"D2bnetHelp16"	"/unsquelch <*accountname>"
"D2bnetHelp16b"	"/unignore <*accountname>"
"D2bnetHelp21"	"/ban <*accountname>"
"D2bnetHelp23"	"/designate <*accountname>"
"D2bnetHelp24"	"/kick <*accountname>"
"D2bnetHelp26"	"/whois <*accountname>, /where <*accountname>"
"D2bnetHelp26b"	"/whereis <*accountname>"
"D2bnetHelp32"	"/stats <*accountname> <programID>"
"x"	"АД"
"x"	"КОШМАР"
"x"	"НОРМАЛЬНАЯ"
"x"	"ВЫБЕРИТЕ СЛОЖНОСТЬ"
"ModStr6e"	"Замедление Падения Выносливости"
"xhm"	"Winged Helm"
"Hsarus' Defense"	"Hsarus' Defense"
"strModEnhancedDamage"	"Повышенный Урон\n"
"strModAllResistances"	"Все Сопротивления +%d"
"strModAllSkillLevels"	"+%d ко Всем Навыкам"
"strModFireDamage"	"+%d Урона Огнем"
"strModFireDamageRange"	"Добавляет %d-%d Урона Огнем"
"strModColdDamage"	"+%d Урона Холодом"
"strModColdDamageRange"	"Добавляет %d-%d Урона Холодом"
"strModLightningDamage"	"+%d Урона Молнией"
"strModLightningDamageRange"	"Добавляет %d-%d Урона Молнией"
"strModMagicDamage"	"+%d Магического Урона"
"strModMagicDamageRange"	"Добавляет %d-%d Магического Урона"
"strModPoisonDamage"	"+%d Урона Ядом в Течение %d Секунд"
"strModPoisonDamageRange"	"Добавляет %d-%d Урона Ядом в Течение %d Секунд"
"strModMinDamage"	"+%d Урона"
"strModMinDamageRange"	"Добавляет %d-%d Урона"
"strModEnhancedDamage"	"Повышенный Урон"
"ModStre9j"	"Урон огнем уменьшен на"
"ModStre9k"	"Урон холодом уменьшен на"
"ModStre9l"	"Урон молнией снижен на"
"ModStre9m"	"Урон ядом уменьшен на"
"ModStre9n"	"Поглощает урон магией"
